winery,wine_name,Note
La Rioja Alta ,Vińa Alberdi Reserva,
Bedrock Wine Co.,,all under $20
Cacchiano,Riserva Chianti Classico,
,Chianti Classico Riserva,
,Langhe Nebbiolo,
Ch‚teau Puygueraud,Francs - CÙtes de Bordeaux,
Jean-Maurice Raffault,Chinon Les Galuches,
Jean-Maurice Raffault,Chinon Les Picasses,
Domaine Olga Raffault,Chinon,
Jean-Maurice Raffault,Chinon Clos d'Isore,
Jean-Maurice Raffault,Chinon Les Picasses,
Jean-Maurice Raffault,Chinon Rouge,
Jean-Maurice Raffault,Chinon Rouge,
Domaine Olga Raffault,Chinon,
Jean-Maurice Raffault,Chinon Les Galuches,
Domaine Olga Raffault,Les BarnabÈs Chinon,
Domaine Olga Raffault,La Singuliere Chinon,
Domaine Olga Raffault,Les Picasses Chinon,
Domaine Olga Raffault,Les Picasses Chinon,
Domaine Olga Raffault,Les Picasses Chinon,
Domaine Olga Raffault,Les Picasses Chinon,
Bernard Baudry,Les Granges Chinon,
Bernard Baudry,Les Granges Chinon,
Bernard Baudry,Chinon Rouge,
Bernard Baudry,Les Granges Chinon,
Bernard Baudry,Les GrÈzeaux Chinon,
Bernard Baudry,Le Clos Guillot Chinon,
Bernard Baudry,Le Clos Guillot Chinon,
Bernard Baudry,La Croix BoissÈe Chinon Rouge,
Bernard Baudry,La Croix BoissÈe Chinon Rouge,
Bernard Baudry,La Croix BoissÈe Chinon Rouge,
Clos de la Roilette,Fleurie,
Domaine Guion,Cuv? Domaine Bourgueil,
Ch?eau Cambon La Pelouse,Haut-M?oc,
Giovanni Canonica,Langhe Nebbiolo,
Aldo Conterno,Il Favot Langhe Nebbiolo,
Aldo Conterno,Il Favot Langhe Nebbiolo,
Giovanni Canonica,Langhe Nebbiolo,
Cascina Corte,Langhe Nebbiolo,
Mascarello Giuseppe e Figlio,Langhe Nebbiolo,
Fontanafredda,Ebbio Langhe Nebbiolo,
G.D. Vajra,Langhe Nebbiolo,
Mascarello Giuseppe e Figlio,Langhe Nebbiolo,
Aldo Conterno,Il Favot Langhe Nebbiolo,
Aldo Conterno,Il Favot Langhe Nebbiolo,
Aldo Conterno,Il Favot Langhe Nebbiolo,
Aldo Conterno,Il Favot Langhe Nebbiolo,
La Spinetta,Langhe Nebbiolo,
Pecchenino,Bricco Ravera Langhe Nebbiolo,
Mirafiore,Langhe Nebbiolo,
