wine_name,price,overall_rating,is_cellar_defender
Pauillac (Premier Grand Cru Class?),4499.97,4.4,False
Gevrey-Chambertin,3262.5,3.8,False
Pauillac (Grand Cru Class?),1799.99,4.5,False
Pauillac (Grand Cru Class?),1799.99,4.5,False
Pauillac (Grand Cru Class?),1799.99,4.4,False
Pauillac (Grand Cru Class?),1799.99,4.3,False
Pauillac (Grand Cru Class?),1799.99,4.3,False
Pauillac (Grand Cru Class?),1799.99,4.0,False
Grand Vin Pauillac (Premier Grand Cru Class?),1699.99,4.7,False
Grand Vin Pauillac (Premier Grand Cru Class?),1699.99,4.5,False
Grange,1499.0,4.8,False
Grange,1499.0,4.7,False
Grange,1499.0,4.7,False
Grange,1499.0,4.6,False
Grange,1499.0,4.6,False
Grange,1499.0,4.5,False
Thorevilos Cabernet Sauvignon,1399.99,4.9,False
Thorevilos Cabernet Sauvignon,1399.99,4.8,False
Thorevilos Cabernet Sauvignon,1399.99,4.7,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.7,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.6,False
Thorevilos Cabernet Sauvignon,1399.99,4.6,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.6,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.6,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.5,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.5,False
Cabernet Sauvignon Proprietor Grown,1399.99,4.5,False
Grand Vin de Ch?eau Palmer (Grand Cru Class?),1299.97,4.6,False
Grand Vin de Ch?eau Palmer (Grand Cru Class?),1299.97,4.3,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),1266.99,4.1,False
Cabernet Sauvignon Old Sparky Beckstoffer To Kalon,1199.0,4.8,False
State Lane Vineyard Cabernet Sauvignon Grand-Vin,1149.99,4.7,False
State Lane Vineyard Cabernet Sauvignon Grand-Vin,1149.99,4.7,False
Dominus (Christian Moueix),1149.99,4.3,False
Dominus (Christian Moueix),1149.99,4.3,False
Dominus (Christian Moueix),1149.99,4.2,False
Pessac-L?gnan (Grand Cru Class? de Graves),1100.0,4.4,False
Pessac-L?gnan (Grand Cru Class? de Graves),1100.0,4.3,False
Pessac-L?gnan (Premier Grand Cru Class?),1055.0,4.5,False
Falletto Barolo Le Rocche del Falletto Riserva,1042.99,4.6,False
M. Etain,999.99,4.8,False
Grand Vin Pauillac (Premier Grand Cru Class?),999.99,4.7,False
Pessac-L?gnan (Grand Cru Class? de Graves),999.99,4.5,False
Clos de la Roche Grand Cru Cuv? Vieilles Vignes,999.99,4.3,False
Barolo,998.95,4.2,False
Ch?eau Margaux (Premier Grand Cru Class?),994.99,4.6,False
Ch?eau Margaux (Premier Grand Cru Class?),994.99,4.5,False
Ch?eau Margaux (Premier Grand Cru Class?),994.99,4.3,False
Ch?eau Margaux (Premier Grand Cru Class?),994.99,4.2,False
Barolo Villero,969.99,4.2,False
Saint-Julien (Grand Cru Class?),965.0,4.3,False
Quella,949.95,4.7,False
Quella,949.95,4.7,False
Quella,949.95,4.7,False
Proprietary Red,936.0,4.7,False
Proprietary Red,936.0,4.7,False
Proprietary Red,936.0,4.6,False
Barbaresco,907.99,4.7,False
Barbaresco,907.99,4.7,False
Barbaresco,907.99,4.4,False
Barbaresco,907.99,4.4,False
Barbaresco,907.99,4.4,False
Barbaresco,907.99,4.4,False
Barbaresco,907.99,4.3,False
Barbaresco,907.99,4.2,False
Barbaresco,907.99,4.1,False
Barolo,906.99,4.6,False
Roman?-Saint-Vivant Grand Cru Les Quatre Journaux,906.99,4.6,False
Roman?-Saint-Vivant Grand Cru Les Quatre Journaux,906.99,4.5,False
Barolo,906.99,4.4,False
Opus One,899.99,4.7,False
Unico Reserva Especial Edici?,899.99,4.7,False
Opus One,899.99,4.6,False
Hommage ? Jacques Perrin Ch?eauneuf-du-Pape,899.99,4.6,False
Opus One,899.99,4.6,False
Hommage ? Jacques Perrin Ch?eauneuf-du-Pape,899.99,4.6,False
Hommage ? Jacques Perrin Ch?eauneuf-du-Pape,899.99,4.5,False
Hommage ? Jacques Perrin Ch?eauneuf-du-Pape,899.99,4.5,False
Hommage ? Jacques Perrin Ch?eauneuf-du-Pape,899.99,4.4,False
Hommage ? Jacques Perrin Ch?eauneuf-du-Pape,899.99,4.4,False
State Lane Vineyard Roberta's Reserve,899.99,4.3,False
Pauillac (Premier Grand Cru Class?),899.97,4.5,False
Cornas,895.95,4.3,False
Clos de la Roche Grand Cru,879.95,4.4,False
Pomerol,875.0,4.6,False
Pomerol,875.0,4.5,False
Pomerol,875.0,4.4,False
Pomerol,875.0,3.8,False
Brunello di Montalcino Riserva,874.95,4.7,False
Brunello di Montalcino Riserva,874.95,4.5,False
Chambertin Clos de B?e Grand Cru,849.95,4.2,False
Opus One,829.99,4.6,False
Las Posadas,813.0,4.6,False
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,813.0,4.4,False
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,813.0,4.4,False
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,813.0,4.3,False
Pluribus,799.99,4.6,False
Pluribus,799.99,4.6,False
Pluribus,799.99,4.5,False
Pessac-L?gnan (Grand Cru Class? de Graves),799.99,4.4,False
Pessac-L?gnan (Grand Cru Class? de Graves),799.99,4.4,False
Saint-Est?he (Grand Cru Class?),799.99,4.3,False
Chapelle-Chambertin Grand Cru,799.99,4.3,False
Saint-Est?he (Grand Cru Class?),799.99,4.1,False
Saint-Est?he (Grand Cru Class?),799.99,4.1,False
Saint-Est?he (Grand Cru Class?),799.99,4.1,False
Saint-Est?he (Grand Cru Class?),799.99,4.0,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),795.0,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),795.0,4.4,False
Echezeaux Grand Cru 'Les Rouges du Bas',793.99,4.4,False
Melbury,764.99,4.9,False
Melbury,764.99,4.7,False
Melbury,764.99,4.7,False
Melbury,764.99,4.7,False
Melbury,764.99,4.6,False
Melbury,764.99,4.6,False
Melbury,764.99,4.6,False
Melbury,764.99,4.6,False
Melbury,764.99,4.4,False
Grand Vin de Ch?eau Palmer (Grand Cru Class?),755.99,4.5,False
Grange,749.95,4.6,False
La Grande Rue Grand Cru Monopole,746.0,4.4,False
Le Petit Mouton de Mouton Rothschild Pauillac,737.99,4.3,False
Le Petit Mouton de Mouton Rothschild Pauillac,737.99,4.3,False
Griotte-Chambertin Grand Cru,725.99,4.1,False
Bonnes-Mares Grand Cru,725.0,4.4,False
Kayli Morgan Vineyard Cabernet Sauvignon,719.99,4.8,False
Kayli Morgan Vineyard Cabernet Sauvignon,719.99,4.7,False
Kayli Morgan Vineyard Cabernet Sauvignon,719.99,4.7,False
C?e-R?ie La Mouline,719.2,4.8,False
C?e-R?ie La Mouline,719.2,4.6,False
C?e-R?ie La Landonne,719.2,4.5,False
C?e-R?ie La Landonne,719.2,4.5,False
C?e-R?ie La Landonne,719.2,4.3,False
Testa dei Cherubini,712.5,4.8,False
Estate Red,710.99,4.7,False
Estate Red,710.99,4.4,False
Ermitage l'Ermite,709.95,4.7,False
Ermitage l'Ermite,709.95,4.6,False
Ermitage l'Ermite,709.95,4.5,False
Ermitage l'Ermite,709.95,4.5,False
Ermitage l'Ermite,709.95,4.5,False
Ermitage l'Ermite,709.95,4.4,False
Ermitage l'Ermite,709.95,4.4,False
Ermitage l'Ermite,709.95,4.4,False
Ermitage l'Ermite,709.95,4.4,False
Ermitage l'Ermite,709.95,4.4,False
Ermitage l'Ermite,709.95,4.1,False
Pomerol,701.99,4.5,False
Pomerol,701.99,4.4,False
Cabernet Sauvignon Proprietor Grown,699.99,4.8,False
Unico,699.99,4.8,False
Tenuta Guado al Tasso Matarocchio,699.99,4.8,False
Cabernet Sauvignon Proprietor Grown,699.99,4.8,False
Unico,699.99,4.7,False
Unico,699.99,4.7,False
Unico,699.99,4.7,False
Cabernet Sauvignon Proprietor Grown,699.99,4.7,False
Tenuta Guado al Tasso Matarocchio,699.99,4.6,False
Tenuta Guado al Tasso Matarocchio,699.99,4.6,False
Amarone della Valpolicella Classico,699.99,4.6,False
Tenuta Guado al Tasso Matarocchio,699.99,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),699.99,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),699.99,4.5,False
Amarone della Valpolicella Classico,699.99,4.4,False
Amarone della Valpolicella Classico,699.99,4.4,False
C?e-R?ie La Turque,699.97,4.7,False
C?e-R?ie La Turque,699.97,4.6,False
C?e-R?ie La Turque,699.97,4.6,False
C?e-R?ie La Turque,699.97,4.6,False
Rattrapante Grenache,699.95,4.9,False
Tychson Hill Vineyard Cabernet Sauvignon,699.0,4.7,False
Bin 707 Cabernet Sauvignon,699.0,4.6,False
Bin 707 Cabernet Sauvignon,699.0,4.5,False
Bin 707 Cabernet Sauvignon,699.0,4.5,False
Tychson Hill Vineyard Cabernet Sauvignon,699.0,4.4,False
Bin 707 Cabernet Sauvignon,699.0,4.4,False
Le Pergole Torte,698.95,4.5,False
Le Pergole Torte,698.95,4.5,False
Le Pergole Torte,698.95,4.5,False
Le Pergole Torte,698.95,4.5,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.4,False
Le Pergole Torte,698.95,4.3,False
Hermitage La Chapelle Rouge,695.0,4.4,False
Costa Russi (Barbaresco) Langhe,691.95,4.7,False
Costa Russi (Barbaresco) Langhe,691.95,4.7,False
Costa Russi (Barbaresco) Langhe,691.95,4.6,False
Costa Russi (Barbaresco) Langhe,691.95,4.6,False
Costa Russi (Barbaresco) Langhe,691.95,4.6,False
Costa Russi (Barbaresco) Langhe,691.95,4.4,False
Bettina Proprietary Red,688.99,4.7,False
Bettina Proprietary Red,688.99,4.7,False
